id_cliente,tipo_cliente,DNI,Celular,Email,id_ubicacion,fecha_alta,estado_cliente
1,Residencial,70XXXX39,934XXX822,cliente00001***@correo.com,40,2024-10-10,ACTIVO
2,Residencial,70XXXX19,953XXX344,cliente00002***@correo.com,31,2022-07-18,ACTIVO
3,Residencial,66XXXX53,926XXX967,cliente00003***@correo.com,9,2023-03-08,ACTIVO
4,Comercial,43XXXX95,900XXX531,cliente00004***@correo.com,43,2019-06-08,ACTIVO
5,Comercial,53XXXX85,902XXX950,cliente00005***@correo.com,15,2021-03-15,ACTIVO
6,Residencial,14XXXX13,950XXX255,cliente00006***@correo.com,41,2021-02-24,ACTIVO
7,Comercial,72XXXX20,925XXX814,cliente00007***@correo.com,25,2020-09-22,ACTIVO
8,Residencial,79XXXX78,965XXX194,cliente00008***@correo.com,9,2019-01-24,ACTIVO
9,Residencial,26XXXX29,966XXX987,cliente00009***@correo.com,22,2020-02-02,ACTIVO
10,Residencial,29XXXX86,927XXX273,cliente00010***@correo.com,2,2022-09-25,ACTIVO
11,Residencial,52XXXX89,913XXX275,cliente00011***@correo.com,34,2023-06-11,ACTIVO
12,Residencial,42XXXX52,957XXX633,cliente00012***@correo.com,28,2018-09-09,ACTIVO
13,Residencial,75XXXX85,912XXX571,cliente00013***@correo.com,20,2024-04-25,ACTIVO
14,Residencial,61XXXX78,947XXX635,cliente00014***@correo.com,33,2024-06-29,ACTIVO
15,Residencial,71XXXX13,909XXX514,cliente00015***@correo.com,15,2023-06-16,ACTIVO
16,Residencial,70XXXX40,960XXX995,cliente00016***@correo.com,40,2023-03-25,ACTIVO
17,Comercial,78XXXX34,922XXX863,cliente00017***@correo.com,39,2019-08-15,ACTIVO
18,Residencial,11XXXX10,928XXX085,cliente00018***@correo.com,28,2022-10-05,ACTIVO
19,Residencial,56XXXX68,993XXX401,cliente00019***@correo.com,26,2019-08-14,ACTIVO
20,Comercial,65XXXX84,947XXX636,cliente00020***@correo.com,7,2023-07-15,INACTIVO
21,Residencial,16XXXX66,989XXX219,cliente00021***@correo.com,3,2018-07-11,ACTIVO
22,Comercial,75XXXX79,923XXX731,cliente00022***@correo.com,41,2019-11-07,ACTIVO
23,Comercial,17XXXX52,961XXX188,cliente00023***@correo.com,3,2018-12-01,ACTIVO
24,Residencial,21XXXX39,952XXX014,cliente00024***@correo.com,26,2023-05-13,ACTIVO
25,Residencial,72XXXX27,949XXX539,cliente00025***@correo.com,9,2024-02-07,ACTIVO
26,Residencial,92XXXX03,910XXX502,cliente00026***@correo.com,14,2020-02-03,ACTIVO
27,Residencial,12XXXX98,932XXX971,cliente00027***@correo.com,9,2021-03-11,ACTIVO
28,Residencial,62XXXX35,915XXX752,cliente00028***@correo.com,9,2021-01-23,ACTIVO
29,Residencial,32XXXX09,927XXX158,cliente00029***@correo.com,15,2019-04-01,ACTIVO
30,Alumbrado Público,50XXXX21,951XXX830,cliente00030***@correo.com,9,2022-02-17,ACTIVO
31,Residencial,54XXXX61,906XXX607,cliente00031***@correo.com,15,2021-07-19,ACTIVO
32,Comercial,60XXXX48,952XXX645,cliente00032***@correo.com,30,2023-10-02,ACTIVO
33,Residencial,60XXXX32,936XXX675,cliente00033***@correo.com,27,2023-05-10,ACTIVO
34,Residencial,12XXXX04,901XXX308,cliente00034***@correo.com,28,2020-10-03,ACTIVO
35,Comercial,50XXXX41,940XXX186,cliente00035***@correo.com,9,2020-06-12,SUSPENDIDO
36,Comercial,57XXXX98,913XXX311,cliente00036***@correo.com,1,2023-07-20,ACTIVO
37,Residencial,26XXXX17,921XXX523,cliente00037***@correo.com,6,2018-04-10,ACTIVO
38,Residencial,63XXXX88,951XXX489,cliente00038***@correo.com,30,2024-12-07,ACTIVO
39,Residencial,42XXXX14,908XXX835,cliente00039***@correo.com,9,2021-10-07,ACTIVO
40,Residencial,46XXXX20,914XXX424,cliente00040***@correo.com,36,2020-07-05,ACTIVO
41,Residencial,98XXXX60,956XXX191,cliente00041***@correo.com,33,2022-04-08,ACTIVO
42,Residencial,16XXXX48,970XXX991,cliente00042***@correo.com,17,2023-05-27,ACTIVO
43,Residencial,77XXXX68,964XXX692,cliente00043***@correo.com,28,2019-05-26,ACTIVO
44,Residencial,71XXXX21,937XXX220,cliente00044***@correo.com,36,2020-09-09,ACTIVO
45,Residencial,29XXXX12,967XXX739,cliente00045***@correo.com,26,2019-11-13,ACTIVO
46,Residencial,65XXXX66,990XXX027,cliente00046***@correo.com,25,2022-06-17,ACTIVO
47,Residencial,91XXXX72,943XXX364,cliente00047***@correo.com,29,2023-04-05,ACTIVO
48,Residencial,29XXXX10,927XXX800,cliente00048***@correo.com,9,2022-12-09,ACTIVO
49,Residencial,42XXXX37,915XXX301,cliente00049***@correo.com,7,2023-05-19,ACTIVO
50,Residencial,18XXXX86,999XXX705,cliente00050***@correo.com,3,2024-08-25,ACTIVO
51,Residencial,43XXXX40,903XXX251,cliente00051***@correo.com,7,2024-03-20,ACTIVO
