id_cliente,tipo_documento,nro_documento,nombre_cliente,tipo_cliente,fecha_alta,estado_cliente,email,telefono
1,DNI,********,María Díaz Ramírez,RESIDENCIAL,2020-04-05,ACTIVO,,********
2,DNI,********,Flor Díaz Torres,RESIDENCIAL,2023-01-07,ACTIVO,cli00002@outlook.com,********
3,CE,********,María Romero Huamán,RESIDENCIAL,2019-06-15,ACTIVO,cli00003@hotmail.com,********
4,DNI,********,Sofía Vargas Vargas,RESIDENCIAL,2019-04-13,MOROSO,cli00004@gmail.com,********
5,DNI,********,María Gonzales Flores,RESIDENCIAL,2024-02-13,ACTIVO,cli00005@outlook.com,********
6,DNI,********,Miguel Huamán Vargas,RESIDENCIAL,2023-10-06,ACTIVO,cli00006@gmail.com,********
7,RUC,53183611807,Servicios Sánchez S.A.C.,OTROS,2020-07-31,ACTIVO,,********
8,DNI,********,Juan Chávez Ramírez,RESIDENCIAL,2025-01-04,ACTIVO,cli00008@hotmail.com,********
9,DNI,********,Gabriela Romero Ramírez,RESIDENCIAL,2019-08-03,ACTIVO,cli00009@hotmail.com,********
10,DNI,********,Juan Vargas Herrera,RESIDENCIAL,2021-04-21,ACTIVO,cli00010@gmail.com,********
11,DNI,********,Ana García Ramírez,RESIDENCIAL,2019-07-11,ACTIVO,,********
12,DNI,********,Carlos Flores Pérez,RESIDENCIAL,2022-06-30,ACTIVO,,********
13,DNI,********,Rosa Chávez Salazar,RESIDENCIAL,2021-01-25,ACTIVO,cli00013@hotmail.com,********
14,DNI,********,Elena Díaz Quispe,RESIDENCIAL,2021-06-09,ACTIVO,,********
15,DNI,********,María Castro Vargas,RESIDENCIAL,2019-01-23,ACTIVO,,********
16,DNI,********,Ricardo Quispe Rodríguez,RESIDENCIAL,2019-12-15,ACTIVO,cli00016@gmail.com,********
17,DNI,********,Gabriela Lopez Salazar,RESIDENCIAL,2021-09-04,ACTIVO,,********
18,DNI,********,Miguel Pérez Romero,RESIDENCIAL,2025-02-11,ACTIVO,cli00018@hotmail.com,********
19,DNI,********,Ricardo Chávez Huamán,RESIDENCIAL,2019-04-15,ACTIVO,cli00019@gmail.com,********
20,DNI,********,Gabriela Quispe Lopez,RESIDENCIAL,2020-05-11,ACTIVO,cli00020@outlook.com,********
21,DNI,********,Flor Rojas Lopez,RESIDENCIAL,2019-03-23,ACTIVO,,********
22,RUC,70063848089,Comercial García S.A.,COMERCIAL,2019-05-25,ACTIVO,cli00022@hotmail.com,********
23,CE,********,Lucía Ramírez Quispe,RESIDENCIAL,2023-12-27,ACTIVO,cli00023@hotmail.com,********
24,DNI,********,Pedro Gonzales Vargas,RESIDENCIAL,2024-09-07,ACTIVO,cli00024@outlook.com,********
25,DNI,********,Miguel Huamán Romero,RESIDENCIAL,2025-06-11,ACTIVO,cli00025@outlook.com,********
26,DNI,********,Luis Herrera Romero,RESIDENCIAL,2021-08-25,ACTIVO,cli00026@hotmail.com,********
27,DNI,********,Diego Vargas Pérez,RESIDENCIAL,2023-03-27,ACTIVO,cli00027@outlook.com,********
28,CE,********,José Salazar Ramírez,RESIDENCIAL,2021-05-20,ACTIVO,cli00028@outlook.com,********
29,DNI,********,Patricia Pérez Rojas,RESIDENCIAL,2018-05-11,ACTIVO,,********
30,DNI,********,Carmen Romero Huamán,RESIDENCIAL,2019-07-19,ACTIVO,cli00030@outlook.com,********
31,DNI,********,Ricardo García Castro,RESIDENCIAL,2024-07-15,ACTIVO,cli00031@outlook.com,********
32,DNI,********,Elena Sánchez Huamán,RESIDENCIAL,2025-07-22,ACTIVO,,********
33,DNI,********,Elena Gonzales Flores,RESIDENCIAL,2023-05-14,ACTIVO,cli00033@gmail.com,********
34,DNI,********,Sofía Herrera Romero,RESIDENCIAL,2024-03-24,ACTIVO,cli00034@outlook.com,********
35,DNI,********,Alberto García Pérez,RESIDENCIAL,2021-12-14,ACTIVO,cli00035@gmail.com,********
36,DNI,********,Carlos Herrera Rodríguez,RESIDENCIAL,2019-04-01,ACTIVO,cli00036@hotmail.com,********
37,DNI,********,Juan Díaz Rojas,RESIDENCIAL,2024-03-21,ACTIVO,,********
38,RUC,86789779721,Comercial Díaz E.I.R.L.,COMERCIAL,2022-12-03,ACTIVO,cli00038@gmail.com,********
39,RUC,29072913144,Ministerio de Salud,GOBIERNO,2020-10-16,ACTIVO,cli00039@hotmail.com,********
40,CE,********,Ana Mendoza Ramírez,RESIDENCIAL,2020-01-07,ACTIVO,cli00040@outlook.com,********
41,DNI,********,Ricardo Rojas Ramírez,RESIDENCIAL,2019-09-08,ACTIVO,cli00041@outlook.com,********
42,DNI,********,Luis Chávez Pérez,RESIDENCIAL,2020-02-11,ACTIVO,,********
43,DNI,********,Sofía Romero Ramírez,RESIDENCIAL,2019-08-17,ACTIVO,cli00043@gmail.com,********
44,DNI,********,Sofía Romero Pérez,RESIDENCIAL,2018-12-17,ACTIVO,cli00044@outlook.com,********
45,RUC,69134360274,Comercial Vargas E.I.R.L.,COMERCIAL,2021-08-13,ACTIVO,cli00045@gmail.com,********
46,DNI,********,Elena García Huamán,RESIDENCIAL,2018-01-22,ACTIVO,cli00046@gmail.com,********
47,DNI,********,Miguel Chávez Rojas,RESIDENCIAL,2022-09-21,ACTIVO,cli00047@outlook.com,********
48,RUC,66796148467,Servicios Pérez S.A.,OTROS,2021-10-11,ACTIVO,cli00048@outlook.com,********
