id_suministro,id_cliente,id_ubicacion,direccion_suministro,nivel_tension,id_sist_electrico,fecha_alta_suministro,estado_suministro
1000000,1,40,Pasaje Bolívar 2312,BT,5,2017-05-04 09:04:18,INACTIVO
1000001,2,31,Pasaje Bolívar 2692,BT,8,2000-09-18 08:33:09,ACTIVO
1000002,3,9,Psje. El Sol 2734,BT,1,2011-07-23 16:32:22,ACTIVO
1000003,4,43,Calle Los Pinos 7085,BT,1,2006-03-07 01:47:14,ACTIVO
1000004,5,15,Psje. Venezuela 6696,BT,4,2007-05-20 04:29:11,ACTIVO
1000005,6,41,Jr. Grau 9207,BT,6,2004-09-16 21:21:15,ACTIVO
1000006,6,41,Jr. Venezuela 4499,BT,3,2009-04-24 18:05:53,ACTIVO
1000007,7,25,Jr. Bolívar 2222,BT,2,2014-10-10 19:01:23,ACTIVO
1000008,7,25,Psje. San Martín 3064,BT,7,2005-06-09 16:51:20,INACTIVO
1000009,8,9,Calle Los Pinos 869,BT,6,2000-03-18 15:23:19,ACTIVO
1000010,9,22,Jr. Universitaria 8926,BT,3,2017-12-09 16:23:19,ACTIVO
1000011,9,22,Jr. Progreso 1940,BT,8,2000-07-21 08:33:10,SUSPENDIDO
1000012,10,2,Av. La Molina 6313,BT,1,2017-06-17 04:14:20,ACTIVO
1000013,10,2,Av. Bolívar 1216,BT,1,2009-02-25 16:28:40,ACTIVO
1000014,11,34,Calle Universitaria 775,BT,1,2009-09-20 16:04:41,ACTIVO
1000015,12,28,Pasaje Grau 2598,BT,7,2020-02-08 01:52:06,ACTIVO
1000016,13,20,Pasaje Bolívar 3092,BT,3,2008-01-22 03:31:19,ACTIVO
1000017,13,20,Pasaje Los Pinos 5646,BT,4,2020-11-10 00:45:36,ACTIVO
1000018,14,33,Calle Universitaria 9980,BT,8,2004-06-18 17:47:03,ACTIVO
1000019,15,15,Calle San Martín 6275,BT,1,2010-04-22 04:35:39,ACTIVO
