id_suministro,id_cliente,direccion_suministro,distrito,cod_sector,zona,nivel_tension,id_sist_electrico,fecha_alta_suministro,estado_suministro
3374844,1,Jr. Vargas 820,San Juan de Miraflores,SANJUANDEMIRAFLORES_001,Zona_01,BT,5,2022-03-30,ACTIVO
6466705,1,Calle Rojas 322,San Juan de Miraflores,SANJUANDEMIRAFLORES_001,Zona_08,BT,5,2023-10-19,ACTIVO
7203894,2,Jr. Díaz 220,Santa María del Mar,SANTAMARIADELMAR_001,Zona_02,BT,8,2023-10-28,ACTIVO
4705365,3,Calle Gonzales 760,Chaclacayo,CHACLACAYO_001,Zona_04,BT,4,2025-08-15,ACTIVO
1539450,4,Av. Salazar 761,Ancón,ANCON_001,Zona_01,BT,4,2024-08-07,ACTIVO
8774667,4,Psje. Herrera 454,Ancón,ANCON_001,Zona_01,BT,8,2025-10-19,ACTIVO
9457667,5,Jr. Huamán 811,Chorrillos,CHORRILLOS_001,Zona_09,BT,6,2024-12-14,RETIRADO
5843754,6,Jr. Chávez 922,Santiago de Surco,SURCO_001,Zona_03,BT,5,2025-10-03,ACTIVO
1233839,7,Av. Pérez 428,Ancón,ANCON_001,Zona_09,BT,8,2025-10-28,ACTIVO
6379167,8,Av. Mendoza 188,Puente Piedra,PUENTEPEDRA_001,Zona_03,BT,7,2025-01-11,ACTIVO
7484408,9,Calle Mendoza 290,La Victoria,LAVICTORIA_001,Zona_09,BT,1,2024-01-28,ACTIVO
4818109,10,Calle Pérez 928,San Juan de Lurigancho,SJL_001,Zona_03,BT,1,2025-04-27,ACTIVO
2050851,11,Calle Flores 164,Surquillo,SURQUILLO_001,Zona_07,BT,4,2021-12-26,ACTIVO
5250708,12,Jr. Mendoza 629,Punta Hermosa,PUNTAHERMOSA_001,Zona_10,BT,7,2023-04-08,ACTIVO
5783057,13,Av. Salazar 888,Pucusana,PUCUSANA_001,Zona_06,BT,1,2025-09-10,ACTIVO
3818914,13,Av. Quispe 878,Pucusana,PUCUSANA_001,Zona_01,BT,7,2023-06-23,ACTIVO
7980273,14,Av. Díaz 555,Pucusana,PUCUSANA_001,Zona_05,BT,3,2022-09-13,ACTIVO
6999963,14,Calle Vargas 752,Pucusana,PUCUSANA_001,Zona_05,BT,3,2024-10-02,ACTIVO
8129922,15,Jr. Pérez 986,San Bartolo,SANBARTOLO_001,Zona_08,BT,4,2021-12-20,ACTIVO
1728237,16,Av. Castro 637,Lurín,LURIN_001,Zona_06,BT,4,2021-01-06,ACTIVO
1217605,17,Av. Flores 925,Lince,LINCE_001,Zona_04,BT,3,2024-10-24,ACTIVO
9335083,18,Jr. Sánchez 233,Barranco,BARRANCO_001,Zona_10,BT,4,2025-04-18,ACTIVO
3764374,18,Av. Lopez 764,Barranco,BARRANCO_001,Zona_05,BT,1,2025-06-17,ACTIVO
4325928,19,Av. Mendoza 399,Magdalena del Mar,MAGDALENA_001,Zona_01,BT,3,2024-08-29,ACTIVO
1782171,20,Jr. Sánchez 559,Puente Piedra,PUENTEPEDRA_001,Zona_07,BT,4,2025-10-17,ACTIVO
5520617,21,Av. Quispe 813,Lurigancho-Chosica,LURIGANCHO_001,Zona_06,BT,7,2020-04-24,ACTIVO
9804216,21,Av. Díaz 911,Lurigancho-Chosica,LURIGANCHO_001,Zona_09,BT,1,2020-06-08,ACTIVO
3783817,22,Jr. Sánchez 693,Santiago de Surco,SURCO_001,Zona_03,MT,7,2021-06-07,ACTIVO
9912586,23,Calle Ramírez 223,Punta Hermosa,PUNTAHERMOSA_001,Zona_10,BT,8,2024-10-23,ACTIVO
4255738,24,Calle Vargas 909,El Agustino,ELAGUSTINO_001,Zona_03,BT,2,2024-12-25,ACTIVO
6079349,25,Psje. Rodríguez 540,Punta Negra,PUNTANEGRA_001,Zona_09,BT,2,2025-08-22,ACTIVO
9385901,26,Jr. Huamán 506,Villa El Salvador,VES_001,Zona_08,BT,2,2022-05-19,ACTIVO
8841528,26,Av. Herrera 160,Villa El Salvador,VES_001,Zona_04,BT,7,2024-03-31,ACTIVO
4760385,27,Calle Ramírez 345,Carabayllo,CARABAYLLO_001,Zona_09,BT,3,2024-10-21,ACTIVO
